#{"t_start": 1646213276.8156483, "env_id": null}
r,l,t
-3,15,10564.802566
-6,15,10589.983836
-11,15,10626.701978
3,11,10653.48763
-15,15,10701.758672
-15,15,10735.019619
-9,15,10761.318693
-7,15,10796.445522
-10,15,10836.299521
7,7,10852.462266
2,12,10879.203713
0,14,10909.215727
-6,15,10937.245488
10,4,10954.31203
-6,15,10996.90291
-5,15,11028.748739
-5,15,11064.834037
-3,15,11104.784127
-4,15,11139.918707
-10,15,11176.205601
-7,15,11211.411511
-15,15,11250.637102
-7,15,11288.856662
-15,15,11335.202371
-8,15,11361.124612
-3,15,11410.838636
-15,15,11454.406706
-15,15,11494.918741
-10,15,11538.679896
-6,15,11574.873826
-10,15,11615.95827
-15,15,11643.759814
-10,15,11676.933689
-15,15,11722.015336
-1,15,11762.388974
-7,15,11812.689962
-15,15,11849.227757
-15,15,11879.888789
-9,15,11914.012784
3,11,11931.510069
-15,15,11968.403451
-6,15,12002.3878
-3,15,12028.531537
-15,15,12062.60464
-7,15,12104.077737
2,12,12137.51646
-6,15,12165.269425
-6,15,12206.467665
-15,15,12250.247787
0,14,12279.99111
-15,15,12330.116406
-12,15,12374.392503
-4,15,12401.264598
-15,15,12441.560232
-5,15,12468.982934
-5,15,12502.979894
-3,15,12541.354963
-8,15,12558.769439
3,11,12593.791758
-15,15,12635.577794
-6,15,12658.267429
-8,15,12695.653793
-3,15,12728.810387
-6,15,12748.838367
-15,15,12786.357042
-15,15,12830.048265
-4,15,12873.166611
-3,15,12909.949276
-1,15,12946.60402
-10,15,12972.960809
-15,15,13006.971581
-15,15,13040.447243
-15,15,13076.78952
-15,15,13117.54852
-6,15,13143.541777
-7,15,13174.591969
-10,15,13215.431861
2,12,13255.297571
5,9,13272.541222
-7,15,13315.279463
-15,15,13352.128606
1,13,13391.987489
-15,15,13437.704855
-10,15,13471.708591
-8,15,13508.283314
-15,15,13534.72222
-4,15,13554.600764
-10,15,13599.694413
-15,15,13633.912405
-10,15,13667.167411
4,10,13701.691899
-10,15,13732.344648
-8,15,13769.47312
0,14,13803.361936
-5,15,13843.257828
-5,15,13883.796627
0,14,13926.773741
-7,15,13963.240921
-3,15,13996.338865
-15,15,14022.190368
-3,15,14065.178961
-15,15,14101.218009
-6,15,14129.662168
5,9,14146.211257
1,13,14184.942196
4,10,14206.697974
-8,15,14232.60725
-11,15,14269.13794
-10,15,14308.018379
-15,15,14349.09801
-15,15,14384.673697
-4,15,14418.656737
-15,15,14457.943787
-15,15,14487.606327
-7,15,14527.736574
-7,15,14560.618126
-15,15,14597.115619
-11,15,14626.186188
-3,15,14657.156311
-15,15,14704.620429
-7,15,14747.941259
-10,15,14788.126945
-6,15,14832.440869
-10,15,14882.687859
-10,15,14926.652626
-6,15,14973.13439
-5,15,15012.669553
-10,15,15053.276229
-15,15,15087.747465
-1,15,15112.024516
-9,15,15142.790356
-15,15,15177.150085
4,10,15201.226017
2,12,15231.448251
3,11,15258.886456
-3,15,15292.61752
-3,15,15336.068805
-6,15,15373.370856
8,6,15393.203709
4,10,15420.192417
-11,15,15456.75762
-15,15,15490.92592
2,12,15528.121265
2,12,15562.338974
-5,15,15589.845047
5,9,15609.711472
-4,15,15645.87024
-6,15,15667.274785
-6,15,15704.427786
-3,15,15746.667015
2,12,15771.09286
1,13,15817.851739
3,11,15851.993427
-7,15,15875.769395
-8,15,15906.149466
-15,15,15950.501362
9,5,15970.78855
-15,15,16010.493363
-5,15,16040.980273
-10,15,16077.64123
0,14,16106.331398
-1,15,16150.920049
-15,15,16191.444686
-8,15,16214.006278
-3,15,16246.842898
2,12,16272.471106
-7,15,16305.59226
-12,15,16348.843284
-4,15,16386.196142
-9,15,16416.668834
-8,15,16441.631244
-3,15,16482.424037
-6,15,16523.914094
-6,15,16570.856774
-1,15,16613.624019
-10,15,16652.31406
-15,15,16695.314737
-4,15,16724.041113
-7,15,16756.663462
6,8,16776.275496
-6,15,16819.293236
-9,15,16841.082766
4,10,16860.909271
9,5,16876.880453
-5,15,16912.43589
0,14,16948.138653
-4,15,16980.683849
-12,15,17009.403348
-5,15,17029.021968
-9,15,17051.670345
-6,15,17094.870191
3,11,17114.384182
8,6,17138.261104
-10,15,17178.288391
-3,15,17223.075439
-4,15,17252.938865
-15,15,17279.366162
-7,15,17311.634667
-6,15,17339.921958
3,11,17363.030357
-10,15,17401.631948
-7,15,17443.790716
-10,15,17473.350435
-11,15,17505.742301
-5,15,17537.339752
-15,15,17563.461873
-1,15,17580.921251
0,14,17625.618055
-5,15,17662.384596
-8,15,17686.629709
-7,15,17738.263629
-5,15,17776.885315
-15,15,17800.286399
-3,15,17842.771115
-6,15,17865.900338
5,9,17886.17292
-4,15,17918.403598
-10,15,17948.098315
-9,15,17970.8551
-10,15,18001.096095
0,14,18030.136062
-4,15,18064.774238
2,12,18090.380844
-4,15,18122.786853
-5,15,18156.948602
8,6,18178.890593
-6,15,18192.02788
0,14,18225.391716
4,10,18251.266212
-9,15,18273.275107
-5,15,18300.418097
-5,15,18338.055063
-5,15,18361.805444
7,7,18378.367007
-8,15,18404.919436
4,10,18424.51596
-10,15,18456.43953
-6,15,18481.618267
5,9,18504.103266
-15,15,18533.150107
-8,15,18553.917897
-1,15,18592.822856
6,8,18622.031097
-8,15,18650.83535
3,11,18670.938963
-5,15,18713.004411
-6,15,18753.583692
-10,15,18782.770916
2,12,18815.466881
-4,15,18850.783292
0,14,18880.721333
-10,15,18910.957217
-6,15,18950.512971
-7,15,18976.797517
-9,15,19008.658651
1,13,19043.228704
-8,15,19088.877716
-1,15,19111.765275
-5,15,19151.331188
-4,15,19180.364739
-7,15,19206.57103
4,10,19228.839236
5,9,19246.254942
-6,15,19272.290327
6,8,19296.328983
-15,15,19333.620952
-5,15,19346.341833
6,8,19372.08337
-6,15,19414.75686
1,13,19442.111548
-10,15,19489.926357
-1,15,19524.822677
-7,15,19564.243586
-5,15,19600.929294
-5,15,19623.912942
1,13,19660.571427
-3,15,19682.993035
-6,15,19731.739601
-15,15,19760.580272
-1,15,19776.662938
-1,15,19802.007099
-3,15,19844.512717
5,9,19870.412128
-12,15,19895.842138
5,9,19915.599007
6,8,19935.510616
6,8,19964.601611
-1,15,20004.054085
-7,15,20040.062245
-9,15,20065.662143
-4,15,20091.043273
-3,15,20133.9622
-5,15,20162.767998
-8,15,20180.499688
0,14,20200.835916
-4,15,20230.253606
-5,15,20269.035058
-9,15,20291.645416
-15,15,20320.726216
9,5,20340.466988
5,9,20360.754907
-9,15,20377.343764
5,9,20398.143589
-5,15,20432.720135
-3,15,20456.240115
4,10,20475.575901
-8,15,20486.033206
2,12,20518.710943
-6,15,20544.791487
8,6,20561.447
-15,15,20597.566771
-8,15,20642.067682
-6,15,20665.790053
-10,15,20694.338308
-4,15,20718.115733
3,11,20735.597196
8,6,20755.44661
8,6,20771.499552
-8,15,20807.60989
-10,15,20843.646785
3,11,20859.744288
0,14,20891.970004
4,10,20908.17554
-8,15,20925.549503
-6,15,20947.901266
-12,15,20984.58936
-5,15,21013.217889
-7,15,21059.313177
1,13,21086.355972
-3,15,21119.15004
-3,15,21144.317822
1,13,21160.857785
-11,15,21200.20613
-11,15,21217.017586
-4,15,21248.725487
-10,15,21271.164642
-15,15,21311.11374
1,13,21347.382949
2,12,21386.046881
-5,15,21413.108248
-6,15,21455.596828
-4,15,21494.722375
-15,15,21520.950773
-6,15,21546.126324
-4,15,21579.119124
-3,15,21618.743594
1,13,21654.006393
-3,15,21679.959034
-3,15,21725.684889
0,14,21765.356886
4,10,21791.894129
5,9,21818.613217
-8,15,21863.234101
-4,15,21893.302596
-4,15,21907.556795
-9,15,21934.068454
-9,15,21963.732517
-8,15,21978.00322
-9,15,22001.491905
-1,15,22032.321409
5,9,22049.100308
-4,15,22071.778548
-3,15,22114.277336
-10,15,22146.156905
2,12,22165.157694
