#{"t_start": 1648090372.2988038, "env_id": null}
r,l,t
2.0,17,73.989512
-4.0,20,148.060812
-9.0,20,177.391064
6.0,15,234.665235
9.0,11,279.221973
-3.0,20,353.291794
-5.0,20,419.406717
-9.5,20,460.201527
7.0,11,502.186576
-0.5,20,560.357272
11.0,9,595.243517
-4.5,20,668.334268
-4.0,20,736.803199
8.0,14,788.711493
-2.5,20,865.674848
-5.5,20,941.445034
-6.5,20,1010.413219
-7.0,20,1076.127702
1.5,16,1137.239449
-5.5,20,1205.667225
-0.5,20,1274.541372
-1.5,20,1331.345355
-1.5,20,1389.452346
-5.5,20,1458.041124
9.0,10,1499.820673
-3.0,20,1565.271868
-0.5,20,1611.667645
2.0,19,1679.090599
9.0,10,1722.867192
-8.0,20,1759.982376
6.5,11,1802.689073
9.0,11,1841.709296
7.0,13,1893.901742
-3.5,20,1962.694004
8.0,12,2012.354403
-3.0,20,2093.382054
-2.5,20,2167.0074
9.0,12,2213.879108
-5.5,20,2260.256334
8.0,13,2303.601383
8.5,11,2349.018192
5.0,14,2406.950573
6.0,14,2452.585059
0.5,20,2514.509573
8.0,11,2552.289605
9.0,11,2594.836151
4.0,17,2642.013771
-3.5,20,2716.382149
9.0,10,2752.264048
7.0,14,2806.483739
6.0,13,2860.850538
-1.5,20,2904.703075
-1.5,20,2974.29105
-1.5,20,3051.334383
7.0,12,3096.566424
-3.0,20,3173.717853
-2.5,20,3245.34968
-7.0,20,3322.917618
-2.5,20,3384.420165
7.0,12,3430.86439
-9.0,20,3481.924049
-1.5,20,3560.867555
10.0,11,3606.840361
-4.0,20,3684.507599
2.0,18,3749.135127
-6.0,20,3807.802481
-2.5,20,3872.312472
-3.5,20,3949.099774
-4.0,20,4019.536605
-2.5,20,4073.315998
9.0,9,4112.033434
-5.0,20,4189.475868
8.0,11,4234.701068
9.0,10,4276.680254
-5.5,20,4331.648889
6.0,14,4385.050911
7.0,13,4435.92851
4.0,16,4490.950459
-1.5,20,4545.905624
6.0,15,4596.263503
5.0,14,4645.898501
-3.5,20,4716.126176
-5.5,20,4759.676392
-2.0,20,4825.575759
-4.0,20,4887.388057
-5.5,20,4961.240415
7.0,14,5000.575348
7.0,14,5058.308285
8.0,14,5112.488905
-3.5,20,5181.698052
-4.0,20,5243.275999
-3.5,20,5304.287795
-1.5,20,5350.897909
-4.0,20,5424.107488
10.0,11,5465.967623
7.0,13,5516.246749
6.0,15,5563.068068
10.0,9,5602.597606
-1.5,20,5681.855784
2.0,17,5737.001947
5.0,15,5793.827117
2.0,17,5852.71792
5.0,14,5896.952559
4.0,18,5944.673255
2.0,17,6008.160645
-1.5,20,6075.627908
9.0,10,6111.338005
-4.0,20,6175.688906
11.0,8,6211.844359
-2.5,20,6276.304446
8.0,12,6320.212179
-3.5,20,6392.295085
-0.5,20,6471.431874
-8.0,20,6547.256259
3.0,18,6615.275474
8.0,11,6660.508005
7.0,14,6721.011134
7.0,15,6765.733649
-4.0,20,6834.801693
8.0,10,6878.088752
-4.0,20,6957.77238
4.0,17,7020.74292
5.0,14,7063.937998
4.0,17,7128.334675
-2.5,20,7196.417613
-0.5,20,7271.963927
-2.5,20,7331.259056
8.0,11,7374.364155
5.0,15,7429.83798
-1.5,20,7497.929466
7.0,15,7545.378066
7.0,12,7593.150248
8.0,14,7648.54014
-5.0,20,7719.367931
12.0,8,7755.306626
-3.0,20,7815.812186
6.0,12,7859.563288
1.0,19,7931.029455
1.0,18,8005.685513
-4.0,20,8051.000758
9.0,11,8095.279965
0.5,20,8176.179115
-6.5,20,8248.609704
-2.5,20,8320.076632
-3.5,20,8384.437579
0.5,20,8465.373755
-6.0,20,8533.938644
-1.5,20,8609.668716
-2.5,20,8661.155758
9.0,12,8712.267316
8.0,12,8763.071241
-1.5,19,8830.473312
11.0,9,8870.750439
-5.0,20,8938.411685
-6.5,20,8978.5943
-3.0,20,9052.716643
-3.0,20,9109.018377
-1.5,20,9184.356003
0.0,20,9247.790632
-2.5,20,9321.723507
5.0,15,9376.669836
-1.5,20,9450.749344
-7.0,20,9490.489208
3.0,19,9551.277808
7.0,12,9597.32829
-1.5,20,9673.758338
6.0,14,9733.410065
-2.5,20,9812.240808
10.0,9,9852.32347
1.0,18,9926.269092
5.0,16,9985.901777
9.0,11,10034.103354
-2.5,20,10109.892594
5.0,15,10164.777608
0.0,19,10232.540294
1.0,20,10300.266921
3.0,17,10354.877101
-5.5,20,10421.878388
-0.5,20,10491.485081
0.5,20,10559.455178
6.0,14,10606.133954
-1.5,20,10685.053656
3.0,18,10749.120209
-5.5,20,10782.903563
-3.0,20,10851.067219
-8.0,20,10896.506421
0.5,20,10980.924516
-4.0,20,11063.630054
8.0,13,11111.572523
8.0,13,11165.342975
1.0,19,11240.445667
-4.0,20,11303.732262
5.0,16,11361.845504
4.0,16,11429.691272
-1.5,20,11493.799176
6.0,12,11541.319389
9.0,11,11588.951946
5.0,17,11653.131881
9.0,11,11700.027133
7.0,10,11740.183038
10.0,12,11780.975926
-5.0,20,11846.268739
8.0,14,11906.208061
-5.5,20,11954.409666
-2.5,20,12034.284957
7.0,12,12084.909539
-4.0,20,12154.093286
4.0,16,12214.610713
8.0,13,12270.699968
8.0,11,12318.065159
-2.5,20,12385.689187
6.0,12,12431.797701
3.0,18,12499.436849
11.0,10,12539.227952
6.0,14,12587.42039
-3.0,20,12659.564835
2.0,20,12736.698273
-4.0,20,12803.43323
6.0,14,12854.73518
4.0,14,12908.241551
11.0,10,12951.696404
2.0,18,13007.493798
9.0,10,13044.345836
8.0,13,13100.538557
5.0,14,13144.411476
-1.5,20,13216.686923
-2.0,20,13272.747094
-5.5,20,13335.238609
-1.5,20,13402.255929
5.0,15,13464.873801
6.0,15,13516.51586
-1.5,20,13591.836985
-2.5,20,13666.72927
8.0,13,13714.159098
8.0,13,13765.58371
10.0,8,13801.47603
6.0,15,13853.361654
-2.5,20,13927.486662
0.0,18,13983.032771
-1.5,20,14058.231877
-3.0,20,14125.037724
-2.0,20,14195.548852
-7.0,20,14247.579146
9.0,10,14290.17871
6.0,13,14340.770149
2.0,17,14410.199391
2.0,20,14476.565606
-9.5,20,14522.591601
9.0,12,14565.316678
10.0,10,14608.462892
-6.0,20,14664.637356
4.0,17,14729.848445
6.0,14,14789.600604
7.0,13,14841.231126
7.0,14,14896.993075
10.0,11,14943.06233
5.0,16,14990.205704
7.0,12,15033.934417
7.0,13,15077.463567
9.0,11,15117.117033
-3.0,20,15196.598165
1.0,19,15270.036949
4.0,18,15325.178017
2.0,18,15387.566903
1.0,17,15446.283695
3.0,17,15505.445101
-1.5,20,15574.388626
0.5,20,15641.873102
-4.0,20,15719.720767
-3.5,20,15786.423924
-4.0,20,15842.984572
-5.0,20,15913.028468
-3.0,20,15968.081707
6.0,13,16015.068273
11.0,9,16054.4438
4.0,19,16120.138761
2.0,19,16177.605103
4.0,16,16228.098057
7.0,14,16287.66547
1.0,19,16363.203725
-4.0,20,16437.707528
10.0,11,16480.604847
2.0,18,16543.876774
10.0,8,16576.298335
6.0,14,16621.501167
7.0,13,16665.64015
8.0,13,16713.427993
9.0,13,16760.877731
-0.5,20,16824.927154
7.0,12,16864.676221
-4.0,20,16935.496867
2.0,17,17005.161262
6.0,13,17055.610483
-4.0,20,17129.5131
4.0,15,17191.126994
3.0,17,17253.657629
7.0,12,17303.071001
6.0,13,17354.051216
-1.5,20,17431.197715
8.0,10,17474.698462
-1.5,20,17535.118765
9.0,11,17573.87772
10.0,10,17610.050299
8.0,14,17657.384047
6.0,15,17712.35292
-1.5,20,17779.793268
10.0,12,17830.404189
4.0,14,17885.681652
-3.0,20,17919.062707
-2.5,20,17985.612035
6.0,13,18024.653074
9.0,11,18068.259053
1.0,20,18139.02229
-7.0,20,18209.634624
-3.5,20,18283.634556
-3.5,20,18365.546168
-2.0,20,18429.274662
8.0,12,18478.831619
-4.0,20,18534.667953
4.0,15,18586.291145
4.0,15,18645.519171
3.0,16,18711.905219
3.0,16,18773.961734
-4.0,20,18840.365297
7.5,10,18882.394595
-0.5,20,18957.023365
11.0,8,18992.524365
-4.0,20,19066.975454
-0.5,20,19137.4156
3.0,18,19192.49055
-1.5,20,19257.661739
-1.5,20,19327.037429
8.0,11,19372.777307
-2.5,20,19439.248431
2.0,18,19513.014426
3.0,18,19568.807755
-1.5,20,19638.822877
-2.5,20,19720.698157
9.0,11,19766.764341
-6.5,20,19838.14795
-5.0,20,19890.209671
1.0,20,19971.358459
7.0,11,20017.571803
-2.5,20,20089.562505
-2.5,20,20163.173737
-4.0,20,20228.699081
4.0,15,20284.667707
-3.5,20,20358.920456
-12.0,20,20383.384056
9.0,10,20425.909271
-3.5,20,20499.365814
10.0,10,20542.159697
-2.5,20,20601.201846
6.0,12,20651.657362
10.0,10,20696.092997
9.0,10,20739.421811
-2.5,20,20811.137493
10.0,10,20854.993802
4.0,16,20914.690573
8.0,12,20954.204584
3.0,17,21015.053475
9.0,10,21058.496642
-0.5,20,21134.448804
1.0,19,21206.468085
6.0,15,21268.832841
6.0,13,21308.928036
4.0,17,21375.821625
3.0,15,21438.497786
4.0,16,21501.724627
6.0,15,21563.988464
6.0,14,21607.784142
2.0,19,21673.885392
-0.5,20,21743.926501
8.0,13,21799.113775
-1.5,20,21881.984783
9.0,13,21924.892181
-1.5,20,21981.041161
12.0,10,22024.59148
8.0,12,22067.095735
3.0,16,22134.528383
-3.5,20,22216.721402
-3.0,20,22283.030708
7.0,13,22332.831706
-4.5,20,22403.461201
-2.5,20,22473.064912
7.0,15,22531.974934
-2.5,20,22603.978833
12.0,8,22638.628532
-6.5,20,22693.205422
6.0,14,22744.110033
5.0,15,22795.738004
0.5,20,22870.576204
-1.5,20,22917.601871
3.0,17,22981.553492
2.0,17,23051.878988
3.0,17,23114.981883
1.0,20,23186.358551
8.0,11,23229.271137
-0.5,20,23303.954872
5.0,15,23358.100363
10.0,10,23393.264018
-1.5,20,23434.207536
7.0,11,23482.39271
1.0,20,23557.829046
8.0,11,23597.760741
-2.5,20,23649.618437
-2.5,20,23728.593042
-2.5,20,23803.244044
-2.5,20,23874.106858
3.0,16,23936.344402
-1.5,20,24008.179698
8.0,11,24051.956934
8.0,11,24095.753877
4.0,15,24151.451391
-1.5,20,24218.365884
5.0,15,24261.597812
4.0,15,24320.680104
-4.5,20,24395.61631
9.0,12,24442.928078
8.0,12,24490.326273
-4.0,20,24566.135383
5.0,15,24621.237098
11.0,11,24664.5878
7.0,13,24712.321432
-5.5,20,24787.185797
5.0,13,24840.930137
8.0,13,24889.604799
-9.0,20,24926.198176
11.0,9,24962.600806
-1.5,20,25041.20232
11.0,8,25076.741961
-4.5,20,25116.852901
-4.5,20,25191.016487
-1.5,20,25269.257443
3.0,18,25333.671013
-0.5,20,25406.817397
4.0,16,25472.177926
9.0,11,25518.112101
