#{"t_start": 1648262053.3613398, "env_id": null}
r,l,t
9.0,13,53.142408
-0.5,20,123.043322
-1.5,20,191.485699
13.0,8,225.094425
-2.5,20,290.296247
11.0,8,325.177082
11.0,10,367.208849
5.0,16,427.675932
7.0,15,472.332328
9.0,10,514.368543
10.0,11,556.408162
10.0,11,601.988465
10.0,11,647.232759
12.0,10,688.934995
9.0,10,730.652281
3.0,17,791.212898
11.0,8,824.754854
13.0,10,866.977738
2.0,18,939.197101
12.0,9,977.465105
7.0,11,1022.505596
6.0,14,1072.095645
11.0,11,1110.793147
8.0,10,1152.242165
11.0,10,1194.338277
11.0,8,1229.146273
11.0,8,1263.764499
4.0,16,1309.66505
10.0,10,1351.373217
8.0,12,1396.961289
4.0,16,1456.753693
6.0,14,1498.850677
9.0,12,1544.315676
7.0,13,1593.471616
12.0,8,1628.354314
13.0,8,1663.233682
12.0,10,1705.235688
9.0,10,1747.117643
-1.5,20,1815.709952
8.0,10,1856.992302
-0.5,20,1935.424224
9.0,10,1977.243606
8.0,12,2026.403538
10.0,9,2064.594888
8.0,10,2106.36977
5.0,16,2171.080535
-3.0,20,2251.531533
11.0,8,2286.651109
10.0,9,2321.584312
10.0,9,2356.51302
13.0,9,2394.82918
11.0,11,2440.192362
10.0,11,2485.685342
3.0,18,2535.385279
10.0,10,2577.135267
10.0,10,2612.329519
4.5,14,2668.985922
12.0,9,2707.370398
9.0,11,2752.570452
-2.0,20,2823.818105
11.0,9,2861.481902
7.0,13,2914.476366
10.0,10,2955.393304
9.0,12,3000.895257
9.0,10,3039.009403
11.0,8,3073.605362
9.0,12,3119.991257
-5.5,20,3186.864386
10.0,10,3227.937566
12.0,8,3261.809807
-0.5,20,3333.160899
11.0,10,3370.136959
4.0,15,3429.702096
11.0,8,3463.98752
9.0,11,3508.809759
12.0,9,3546.72429
11.0,9,3584.350243
-1.5,20,3655.959321
7.0,12,3704.88302
9.0,10,3746.676381
12.0,9,3784.942329
11.0,10,3823.412191
7.0,13,3872.50412
10.0,11,3914.100203
8.0,12,3958.922101
11.0,10,4000.162293
8.0,12,4042.327804
11.0,9,4080.619543
10.0,12,4125.976974
11.0,10,4163.805607
9.0,10,4205.281588
10.0,10,4246.94079
10.0,11,4288.556935
9.0,11,4330.145927
9.0,11,4375.294044
0.5,20,4439.305332
-1.5,20,4500.606269
9.0,13,4549.707332
10.0,10,4591.207332
9.0,10,4633.044057
10.0,9,4667.75601
12.0,9,4702.220209
11.0,9,4740.477214
9.0,10,4781.684537
9.0,12,4826.916133
10.0,11,4868.284422
9.0,11,4910.197192
-3.5,20,4989.609083
-3.5,20,5057.335154
4.0,17,5113.103677
9.0,11,5157.868962
11.0,8,5192.091107
6.0,15,5248.081406
10.0,10,5289.809246
10.0,10,5331.573175
11.0,10,5373.382392
14.0,8,5407.977837
9.0,12,5457.966817
10.0,10,5506.017667
12.0,8,5545.892208
11.0,11,5593.130286
12.0,9,5631.81733
6.0,16,5693.078033
8.0,11,5739.630112
7.0,14,5798.70706
6.0,14,5845.899079
10.0,11,5892.142123
8.0,11,5935.022381
12.0,9,5974.201048
12.0,8,6009.457287
11.0,9,6048.753181
-4.5,20,6126.589873
7.0,11,6169.683423
10.0,10,6212.66933
11.0,9,6251.555004
10.0,10,6293.937458
4.0,19,6370.199997
10.0,11,6411.909119
10.0,11,6455.220734
7.0,15,6517.227806
11.0,9,6555.164986
12.0,8,6590.583915
-0.5,20,6652.807836
12.0,9,6691.439835
-0.5,20,6761.396076
9.0,12,6811.80152
10.0,10,6853.938121
7.5,11,6897.422628
8.0,12,6948.152836
8.0,14,6998.900591
9.0,13,7049.610167
11.0,9,7089.264562
4.0,16,7154.916093
12.0,9,7193.475755
-0.5,20,7262.616919
5.0,14,7301.267782
10.0,10,7344.143747
11.0,8,7379.913718
8.0,12,7430.706392
9.0,13,7484.810192
12.0,8,7519.453101
-1.5,20,7582.927308
7.0,14,7637.417774
10.0,10,7680.182158
5.0,15,7737.515985
10.0,10,7779.794457
9.0,13,7826.603237
8.0,12,7872.742447
11.0,9,7911.397452
10.0,11,7957.180699
4.0,17,8017.205773
10.5,9,8055.046929
11.0,9,8094.124192
9.0,12,8136.876217
12.0,9,8175.850082
10.0,10,8218.750449
-3.5,20,8300.269909
10.0,10,8343.43656
10.0,10,8386.3647
11.0,9,8425.608397
9.0,10,8468.274816
10.0,11,8515.196349
-1.5,20,8581.863588
6.0,15,8643.988655
11.0,10,8685.639616
10.0,10,8728.699565
-1.5,20,8795.322994
9.0,10,8838.420395
10.0,11,8881.748537
5.0,16,8948.173372
10.0,10,8990.961701
10.0,10,9034.241454
8.0,12,9084.47424
10.0,8,9119.957477
10.0,12,9166.94887
8.0,11,9209.877464
8.0,12,9260.93437
9.0,12,9302.847594
12.0,9,9341.947152
-2.0,20,9422.352234
8.0,14,9480.882455
9.0,10,9523.801964
4.0,16,9586.533362
12.0,8,9621.928458
4.0,19,9684.632875
10.0,10,9726.774986
7.0,15,9777.496523
11.0,10,9816.865932
10.0,10,9859.74975
12.0,9,9899.260169
11.0,8,9934.620942
7.0,13,9985.140672
9.0,13,10039.749205
8.0,12,10090.010954
13.0,8,10125.706658
13.0,8,10161.787826
11.0,10,10201.618818
-3.0,20,10275.120836
11.0,9,10313.864886
10.0,8,10349.260189
8.0,12,10400.287198
12.0,9,10438.295461
8.0,12,10488.116707
8.0,12,10539.052449
8.0,13,10588.426917
11.0,10,10628.227832
11.0,9,10667.238795
11.0,8,10702.779126
-3.5,20,10772.71251
7.0,13,10819.469284
-2.5,20,10882.125448
10.0,10,10924.94643
10.0,10,10967.607485
8.0,12,11013.783719
5.0,16,11078.849129
4.0,17,11138.891824
10.0,11,11180.219421
2.0,19,11241.457313
12.0,8,11276.592413
9.0,12,11319.312891
8.0,14,11376.773554
13.0,9,11413.885588
12.0,10,11455.839047
-2.0,20,11524.544359
11.0,10,11566.652426
12.0,8,11601.856076
-1.5,20,11678.688216
8.0,12,11725.464434
-0.5,20,11787.684087
-1.5,20,11856.957902
10.0,9,11895.612558
10.0,11,11941.366375
-1.5,20,12014.788442
10.0,11,12060.199445
11.0,9,12098.618058
10.0,10,12137.548522
-2.5,20,12195.550426
6.0,14,12253.537355
10.0,10,12294.858335
10.0,11,12340.864507
12.0,8,12376.032243
9.0,10,12418.475964
12.0,9,12457.4642
10.0,11,12496.383858
-3.5,20,12554.983876
11.0,11,12600.405855
13.0,8,12635.529426
-3.0,20,12697.859912
7.0,13,12751.68643
11.0,10,12793.92608
7.0,11,12837.176782
12.0,9,12876.175476
-0.5,20,12945.388124
12.0,8,12980.895901
12.0,9,13020.148
10.0,12,13069.782917
11.0,10,13112.328712
-2.5,20,13185.500692
9.0,11,13231.928722
11.0,8,13267.057635
10.0,12,13316.986359
10.0,10,13359.629001
11.0,11,13402.459572
10.0,9,13438.144877
7.0,15,13500.058016
9.5,8,13534.348888
8.0,13,13584.358408
6.0,12,13627.065416
11.0,10,13665.923726
14.0,8,13701.120575
10.0,10,13743.805323
6.0,14,13801.179135
-3.0,20,13870.015707
11.0,8,13905.315197
11.0,8,13940.292217
1.0,19,13983.718176
12.0,10,14026.451224
10.0,10,14069.139531
9.0,12,14119.073607
0.5,20,14188.272777
10.5,8,14223.65004
10.0,10,14265.861007
9.0,11,14312.285452
11.0,10,14354.77813
7.0,15,14404.445332
9.0,12,14454.178516
8.0,12,14503.242986
9.0,11,14549.24241
10.0,11,14595.054422
-0.5,20,14673.672703
11.0,9,14711.642043
8.0,10,14753.735414
11.0,11,14796.4904
4.0,15,14846.50611
2.0,17,14893.41476
0.0,20,14961.644771
11.0,10,15003.922899
8.0,11,15046.38551
9.0,14,15104.614222
10.0,10,15146.908579
2.0,18,15216.495507
13.0,9,15254.538244
10.0,9,15289.636051
3.0,18,15358.504041
-1.5,20,15408.673538
8.0,12,15453.612849
11.0,10,15496.256233
9.0,10,15538.926579
12.0,8,15574.120306
10.0,10,15613.439372
-1.5,20,15675.104279
4.0,16,15737.448377
10.0,11,15783.604622
8.0,12,15832.84661
8.0,13,15886.747959
11.0,10,15928.158905
10.0,11,15973.164023
12.0,9,16011.624173
11.0,9,16050.382735
12.0,8,16084.793667
10.0,10,16127.359864
5.0,15,16181.535396
12.0,8,16215.222893
12.0,8,16250.456362
-3.0,20,16322.924518
10.0,8,16358.118962
7.0,14,16415.840312
9.0,11,16461.034241
9.0,12,16504.003529
8.0,11,16550.467006
10.0,10,16592.622284
9.0,12,16638.621404
-1.5,20,16696.532805
7.0,14,16753.107328
12.0,9,16792.029628
12.0,9,16830.445975
11.0,8,16865.109894
10.0,12,16915.420609
10.0,10,16956.256767
9.0,13,17010.01179
0.5,20,17089.169043
10.0,11,17134.310843
9.0,10,17169.405982
10.0,10,17211.683662
11.0,9,17250.297809
10.0,11,17295.818139
9.0,11,17341.418042
10.0,10,17383.34787
12.0,9,17422.246337
4.0,17,17490.570296
11.0,8,17524.571256
9.0,11,17570.666089
7.0,14,17627.59276
11.0,10,17668.905578
10.0,9,17707.719203
9.0,10,17749.992041
8.0,15,17807.784708
-2.5,20,17877.223569
11.0,8,17912.500515
11.0,11,17958.439934
10.0,10,18000.669933
7.0,14,18054.204123
9.0,12,18103.497748
3.0,19,18176.303607
8.0,14,18233.57519
6.0,16,18294.146147
-2.5,20,18352.225065
4.0,18,18416.070906
-5.5,20,18472.664476
10.0,11,18514.358655
10.0,10,18556.592923
9.0,10,18598.43048
10.0,13,18650.988654
-4.0,20,18705.80359
-0.5,20,18766.807533
11.0,10,18809.080072
11.0,10,18850.815082
12.0,9,18889.143486
-4.0,20,18961.19399
12.0,9,18999.063418
10.0,9,19033.60892
11.0,8,19068.581785
8.0,11,19114.686777
-0.5,20,19186.496093
9.0,11,19228.895997
-1.5,20,19290.397524
12.0,9,19329.49123
9.0,10,19371.288928
9.0,11,19416.940347
12.0,9,19451.937504
8.0,11,19494.369322
2.0,18,19565.704464
8.0,13,19618.906816
12.0,8,19652.26517
8.0,12,19701.740821
10.0,11,19747.395862
6.0,14,19796.899195
12.0,9,19835.457604
10.0,11,19880.758981
4.0,17,19945.680577
8.0,14,19998.196389
-6.0,20,20072.958405
11.0,10,20116.092664
4.0,17,20181.081706
8.0,13,20234.731375
10.0,10,20277.024816
7.0,12,20320.462669
8.0,12,20370.73319
10.0,10,20413.488528
9.0,11,20459.495815
8.0,10,20497.903468
-1.5,20,20549.719284
6.0,16,20606.973976
-0.5,20,20683.274851
12.0,9,20722.09444
7.0,13,20772.020776
11.0,10,20810.028732
10.0,11,20852.418834
9.0,11,20898.537774
4.0,17,20966.425587
10.0,10,21008.655908
9.0,12,21059.209718
6.0,15,21119.871725
9.0,11,21162.362129
10.0,8,21197.311259
10.0,13,21247.622332
8.0,13,21300.888441
10.0,12,21350.677952
-0.5,20,21430.390061
3.0,17,21484.473667
9.0,10,21525.744539
8.0,15,21583.349778
3.0,16,21647.22893
10.0,10,21689.102129
11.0,11,21731.384306
6.0,13,21780.378259
11.0,8,21815.532781
13.0,8,21850.487206
9.0,10,21892.704404
8.0,11,21935.078913
6.0,15,21992.641617
9.0,10,22034.171968
9.0,12,22084.06762
12.0,9,22121.799259
10.0,12,22171.002279
11.0,9,22209.73623
11.0,9,22248.19778
10.0,10,22290.207168
10.0,10,22332.639923
10.0,11,22378.627743
-1.5,20,22443.744397
0.5,20,22520.34628
11.0,9,22558.259401
9.0,10,22600.289125
9.0,10,22642.480024
12.0,9,22681.168551
9.0,12,22730.550337
10.0,9,22769.271548
8.0,12,22818.630397
-4.0,20,22880.6212
12.0,9,22919.48402
-2.5,20,22995.723562
9.0,10,23038.167563
-4.0,20,23117.771943
9.0,13,23166.497261
7.0,12,23216.619471
9.0,12,23261.842434
8.0,11,23304.071922
7.0,12,23353.538273
9.0,10,23394.456037
9.0,11,23440.412626
7.0,13,23486.254005
9.0,12,23531.867991
7.0,14,23577.935866
7.0,14,23634.480798
11.0,9,23673.111347
10.0,10,23715.276745
8.0,12,23761.342198
6.0,17,23829.477249
10.0,11,23870.714498
11.0,10,23909.613404
10.0,10,23951.667502
12.0,9,23992.961597
9.0,13,24045.890839
9.0,10,24087.896646
8.0,10,24126.956134
-1.5,20,24188.915132
12.0,9,24227.677389
11.0,9,24266.207972
9.0,12,24315.511463
9.0,11,24358.229007
