#{"t_start": 1646364079.028574, "env_id": null}
r,l,t
-5,15,20.830074
1,13,44.376677
-4,15,87.917219
-3,15,123.496738
-4,15,165.905524
2,12,185.332464
10,4,202.028449
-7,15,240.645993
-6,15,274.499218
9,5,293.815838
-4,15,309.650277
-4,15,344.059507
-1,15,377.005065
2,12,411.791703
-5,15,443.588899
6,8,460.602998
-5,15,479.75377
-8,15,517.45522
1,13,553.574086
8,6,568.734415
0,14,587.871947
9,5,606.215155
6,8,626.922205
-3,15,659.989951
-5,15,678.479403
9,5,694.322104
1,13,721.182955
1,13,759.999509
0,14,778.422915
2,12,799.881911
7,7,818.684883
1,13,852.158159
5,9,867.808834
4,10,889.019188
-15,15,928.661163
7,7,946.980132
-4,15,959.925202
-7,15,1000.064594
-6,15,1041.990263
10,4,1058.106874
0,14,1083.558982
3,11,1108.649526
-6,15,1136.964887
2,12,1158.580049
-6,15,1186.588271
-3,15,1218.324749
-10,15,1242.703464
2,12,1273.975369
-8,15,1301.298376
8,6,1319.189957
-3,15,1349.693957
9,5,1364.85844
8,6,1383.344382
2,12,1407.90259
7,7,1429.973617
7,7,1448.943442
-4,15,1473.527283
-4,15,1498.356313
1,13,1523.105913
0,14,1566.042399
-3,15,1613.035944
4,10,1632.439852
2,12,1657.441897
-4,15,1693.301594
5,9,1714.876898
-3,15,1746.40639
-6,15,1774.982858
-5,15,1812.87429
5,9,1837.106012
-4,15,1877.191376
-8,15,1916.75954
0,14,1945.657858
-10,15,1968.549451
4,10,1991.212526
3,11,2016.410539
2,12,2045.365358
5,9,2061.322414
4,10,2086.568148
5,9,2101.746484
-4,15,2144.480372
-7,15,2180.684235
-6,15,2209.833349
-3,15,2248.785549
5,9,2270.894686
2,12,2303.514906
-10,15,2327.073813
7,7,2346.893036
-1,15,2379.478795
4,10,2405.990773
0,14,2447.963518
-4,15,2479.97646
3,11,2512.420408
-6,15,2532.204938
1,13,2561.430223
7,7,2581.318877
5,9,2603.334451
-5,15,2641.737981
4,10,2660.718768
5,9,2689.114951
5,9,2709.371755
4,10,2736.041771
-3,15,2775.704883
-1,15,2805.14438
-1,15,2838.275259
-6,15,2870.226273
7,7,2886.821871
5,9,2912.566172
9,5,2933.370414
1,13,2952.745467
7,7,2974.939746
7,7,2994.226451
1,13,3030.293108
6,8,3055.996228
-6,15,3094.347107
3,11,3119.90067
4,10,3151.621578
0,14,3182.554794
0,14,3204.678266
-4,15,3242.226223
-9,15,3264.852287
5,9,3297.651813
0,14,3336.041043
9,5,3352.826088
8,6,3369.592719
7,7,3385.637566
6,8,3402.23178
-4,15,3427.889225
9,5,3447.128155
6,8,3464.306035
-9,15,3486.019238
-3,15,3531.823188
8,6,3548.13971
3,11,3577.361942
-3,15,3615.889364
-3,15,3651.205337
-6,15,3670.246135
2,12,3708.723731
0,14,3737.616981
4,10,3760.557625
7,7,3780.065916
2,12,3802.325532
7,7,3825.158748
1,13,3844.446072
-3,15,3880.292266
1,13,3909.023947
8,6,3931.967739
-1,15,3954.970542
5,9,3974.803099
0,14,3998.076927
0,14,4035.787504
-6,15,4066.238225
-1,15,4088.894159
6,8,4110.634006
9,5,4130.630619
9,5,4147.304584
-4,15,4160.680438
2,12,4194.071369
5,9,4211.210441
9,5,4227.809176
6,8,4250.56907
6,8,4270.710226
-6,15,4309.863797
8,6,4331.660086
4,10,4357.779108
-1,15,4377.053954
-6,15,4421.487095
-5,15,4457.004729
1,13,4482.727069
2,12,4521.30404
7,7,4537.76369
-6,15,4566.57328
-3,15,4599.60439
-6,15,4631.786159
1,13,4669.602454
-5,15,4704.87475
-6,15,4742.145692
5,9,4761.257555
-5,15,4802.369096
6,8,4819.203436
4,10,4840.955536
-3,15,4866.541523
6,8,4885.19374
2,12,4919.762866
-4,15,4945.201851
-1,15,4982.687109
0,14,5017.633463
6,8,5033.387973
2,12,5062.471258
-6,15,5096.327657
3,11,5118.22067
2,12,5137.052171
3,11,5171.433043
-5,15,5197.114832
9,5,5213.625705
-6,15,5238.936671
6,8,5258.849321
9,5,5274.935788
-11,15,5293.659086
-3,15,5326.813048
8,6,5346.551234
7,7,5368.856012
-4,15,5395.289912
-6,15,5417.956898
7,7,5437.476046
6,8,5453.600194
1,13,5472.94121
2,12,5492.208279
9,5,5511.067083
-6,15,5547.23949
4,10,5566.238741
-3,15,5611.416161
8,6,5628.009586
2,12,5657.264266
5,9,5674.083877
1,13,5699.784349
7,7,5722.135129
8,6,5741.708273
3,11,5767.359544
8,6,5787.225842
9,5,5806.634387
2,12,5823.730728
2,12,5845.939636
3,11,5868.31498
-3,15,5897.253559
-1,15,5922.035648
8,6,5937.758869
-6,15,5969.278248
-5,15,6006.843432
-5,15,6045.043156
5,9,6064.921735
-8,15,6111.970695
5,9,6130.940032
5,9,6152.596332
3,11,6173.705298
10,4,6190.057074
7,7,6209.797104
8,6,6226.061819
5,9,6248.605291
4,10,6282.820699
7,7,6299.335029
6,8,6324.968608
10,4,6341.648172
1,13,6367.604691
-1,15,6397.666392
6,8,6414.267353
-4,15,6442.77596
7,7,6465.841098
4,10,6485.598697
-4,15,6502.117686
7,7,6519.175991
-4,15,6535.206921
-8,15,6562.147198
7,7,6585.12589
2,12,6611.498145
1,13,6639.941896
-4,15,6658.862859
-1,15,6699.099406
7,7,6724.404316
-1,15,6766.670871
9,5,6783.303631
5,9,6799.576062
-6,15,6835.473715
-4,15,6857.902745
7,7,6880.153734
-4,15,6909.055317
4,10,6945.159788
4,10,6967.667575
6,8,6987.207114
6,8,7013.186181
7,7,7036.320618
0,14,7074.792838
3,11,7110.113337
-6,15,7136.504524
5,9,7159.740748
4,10,7189.145345
3,11,7205.139439
8,6,7227.933533
-8,15,7258.757924
7,7,7282.098248
2,12,7308.228749
6,8,7328.159946
3,11,7360.818258
9,5,7377.357301
7,7,7399.484387
9,5,7416.261323
-4,15,7436.643754
-3,15,7474.809686
4,10,7497.750332
4,10,7529.634483
-8,15,7568.955667
7,7,7591.79516
0,14,7614.381722
6,8,7630.384186
7,7,7652.022973
8,6,7673.955888
6,8,7696.001558
10,4,7711.386731
-5,15,7752.434669
9,5,7769.389606
-10,15,7789.144592
-1,15,7830.759065
8,6,7852.871522
7,7,7869.161319
10,4,7885.39361
5,9,7914.24641
-1,15,7952.758806
0,14,7985.449752
7,7,8002.050066
7,7,8018.89217
3,11,8038.102579
7,7,8057.182203
9,5,8076.111809
4,10,8092.919223
6,8,8109.552463
5,9,8125.591135
4,10,8154.914242
-7,15,8193.44557
0,14,8227.576134
7,7,8249.734763
1,13,8266.14846
-4,15,8310.518484
9,5,8326.87233
7,7,8346.230471
3,11,8366.743688
2,12,8389.554546
4,10,8414.638223
-4,15,8433.971316
