#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
11.0,7,8686.471899
-1.5,15,8708.322613
-4.0,15,8724.674325
7.0,12,8748.02362
-11.0,15,8773.187998
1.5,15,8804.703623
-5.5,15,8827.092852
4.0,14,8871.085072
-11.0,15,8897.340788
-2.5,15,8945.387125
-2.5,15,8976.92593
-8.5,15,9008.527619
-1.0,15,9040.550236
-2.5,15,9081.344764
7.0,11,9107.164196
-15,15,9132.194125
0.0,15,9161.422883
5.0,13,9192.526108
-15,15,9215.029883
-4.0,15,9250.220728
0.0,15,9281.45795
-1.0,15,9317.096691
1.5,15,9341.921761
-11.0,15,9386.122049
14.0,4,9402.785809
-11.0,15,9443.831709
-8.5,15,9459.989439
-1.5,15,9481.30387
-7.0,15,9494.646722
-6.5,15,9524.013045
-1.0,15,9546.002883
-2.5,15,9586.706827
9.0,9,9602.722484
7.0,12,9624.353217
2.5,15,9661.948256
-1.5,15,9678.663758
-8.0,15,9711.012273
-8.0,15,9739.091824
12.0,6,9754.709672
-4.0,15,9780.263852
-11.0,15,9812.08369
8.0,11,9827.342838
-4.0,15,9850.081041
-4.0,15,9860.559127
9.0,9,9883.389218
7.0,12,9911.788841
-1.5,15,9937.137586
-4.0,15,9968.683677
-8.0,15,9997.189921
-1.0,15,10022.325521
11.0,8,10044.599356
-3.0,15,10066.37533
-5.5,15,10094.791785
-2.5,15,10113.142065
-3.0,15,10150.950241
-6.0,15,10182.301593
7.0,11,10214.308827
0.0,15,10256.182569
-12.5,15,10285.235291
-4.0,15,10316.64092
-1.5,15,10341.992919
1.5,15,10354.764167
-2.5,15,10393.186007
-8.5,15,10430.618767
-1.5,15,10465.705863
1.5,15,10484.405396
1.5,15,10521.977242
-5.5,15,10552.934085
-4.0,15,10577.722918
-15,15,10617.133587
-1.5,15,10638.78403
3.0,15,10664.274014
15.0,3,10676.936636
-1.5,15,10700.043937
0.0,15,10733.870446
0.5,15,10758.897392
-8.0,15,10793.99362
-4.5,15,10818.452531
1.5,15,10850.446849
9.0,10,10876.075901
-5.5,15,10907.389387
-1.5,15,10932.621303
9.0,10,10954.848414
14.0,4,10968.256935
-3.0,15,10992.910678
-8.5,15,11028.014683
-15,15,11059.046689
1.5,15,11083.883935
-7.5,15,11124.854012
-1.0,15,11157.246372
10.0,8,11175.920691
9.0,10,11192.325206
0.5,15,11221.223614
-2.5,15,11256.413005
-1.5,15,11287.270794
-6.5,15,11319.829384
-15,15,11347.47823
10.0,9,11365.818848
-1.5,15,11388.373924
12.0,6,11404.023545
-4.0,15,11423.483766
11.0,7,11445.869955
-3.0,15,11462.111939
6.0,12,11493.656367
-4.0,15,11519.833466
6.0,13,11548.318397
-6.5,15,11570.216744
-4.5,15,11589.012195
-15,15,11626.684728
0.5,15,11660.328704
-8.0,15,11679.307729
13.0,6,11694.671819
6.0,13,11726.815187
-2.5,15,11751.863668
-15,15,11780.124992
0.0,15,11801.838861
7.0,12,11823.370745
-4.0,15,11848.311917
8.0,10,11866.547473
-1.0,15,11882.232911
-1.0,15,11901.286335
-7.0,15,11914.415291
-2.5,15,11924.921615
-4.0,15,11947.554476
-1.5,15,11985.649717
12.0,6,12001.327579
-9.5,15,12039.221668
-4.0,15,12063.918908
-1.5,15,12082.87752
-8.0,15,12105.965588
