#{"t_start": 1646734026.1803424, "env_id": null}
r,l,t
9.0,10,37.635572
6.0,12,57.029073
15.0,3,70.213591
12.0,7,86.723664
7.0,11,121.709414
13.0,5,138.684463
14.0,5,156.032996
14.0,4,174.21961
7.0,12,192.115967
15.0,4,208.927966
-1.0,15,219.78371
12.0,7,239.81345
11.0,7,259.395785
12.0,6,275.807701
10.0,8,301.933539
14.0,4,318.816739
8.0,10,334.976204
7.0,12,361.441408
14.0,5,378.522406
12.0,7,404.619408
13.0,6,421.532434
1.5,15,456.976046
10.0,9,474.206802
-11.0,15,512.447031
15.0,4,529.363055
11.0,8,555.512523
13.0,5,572.298338
1.5,15,607.8873
15.0,4,624.593611
-3.0,15,666.137576
14.0,4,682.735941
14.0,5,699.079215
14.0,4,712.871381
0.5,15,722.871885
14.0,5,742.21261
13.0,6,758.813797
14.0,5,775.875675
15.0,4,793.043987
10.0,9,819.081928
14.0,5,835.920348
13.0,5,852.668445
15.0,4,869.576708
13.0,6,886.362135
2.5,15,902.552365
15.0,4,919.568376
12.0,6,936.494646
14.0,4,953.402792
2.5,15,978.889604
12.0,7,998.967086
15.0,3,1012.457777
13.0,6,1028.679356
12.0,6,1044.883769
12.0,7,1071.226581
6.0,12,1090.531574
6.0,13,1124.871725
13.0,5,1141.308621
15.0,2,1151.616076
1.5,15,1186.404116
11.0,7,1212.809916
13.0,5,1229.110339
15.0,4,1246.103497
-1.5,15,1287.984319
13.0,6,1310.080709
15.0,4,1326.400465
13.0,6,1343.475711
11.0,8,1369.71939
13.0,6,1386.014944
13.0,6,1409.381356
8.0,10,1438.840741
14.0,5,1455.695336
15.0,4,1472.529288
10.0,8,1495.248721
13.0,6,1512.100414
15.0,3,1525.692774
9.0,9,1550.900252
-7.0,15,1595.244406
-7.0,15,1639.806139
15.0,4,1656.385537
6.0,12,1691.376479
14.0,4,1708.342369
13.0,6,1730.997089
11.0,8,1757.252028
12.0,7,1774.121222
3.0,15,1821.435063
14.0,4,1834.881392
12.0,7,1851.679727
12.0,7,1868.650433
11.0,8,1887.87249
9.0,10,1903.786916
8.0,11,1939.419404
-3.0,15,1978.18652
5.0,13,2016.902138
8.0,11,2049.050296
5.0,14,2075.363126
6.0,12,2116.894925
8.0,11,2142.973974
-8.0,15,2181.225204
14.0,4,2196.443005
13.0,5,2213.051167
11.0,8,2239.341172
14.0,5,2256.172363
15.0,4,2273.076053
15.0,4,2289.942802
15.0,4,2306.642934
6.0,13,2322.826041
6.0,13,2361.883326
5.0,14,2393.265052
15.0,3,2406.767944
15.0,4,2424.415433
15.0,4,2441.541842
14.0,4,2455.415981
0.5,15,2506.748333
15.0,3,2519.206671
12.0,7,2536.237803
14.0,4,2553.231352
10.0,9,2579.362892
14.0,5,2596.222486
-7.0,15,2643.998939
14.0,4,2660.527245
14.0,5,2676.757478
